Year,Month - name,Month -sequence,Date,Business Line,"Amount, $",Expense subgroup,Revenue / Expense Group,Revenue or expense
2023,January,1,1/31/2023,Nutrition and Food Supplements ,153000,,Sales,Revenue
2023,January,1,1/31/2023,Nutrition and Food Supplements ,27000,,Consulting and professional services,Revenue
2023,January,1,1/31/2023,Nutrition and Food Supplements ,6000,,Other income,Revenue
2023,January,1,1/31/2023,Nutrition and Food Supplements ,-15000,Rent,Opex,Expense
2023,January,1,1/31/2023,Nutrition and Food Supplements ,-9000,Equipment,Opex,Expense
2023,January,1,1/31/2023,Nutrition and Food Supplements ,-30000,Marketing,Opex,Expense
2023,January,1,1/31/2023,Nutrition and Food Supplements ,-40000,Payroll,Opex,Expense
2023,January,1,1/31/2023,Nutrition and Food Supplements ,-30000,R&D,Opex,Expense
2023,January,1,1/31/2023,Nutrition and Food Supplements ,-1500,Other,Opex,Expense
2023,January,1,1/31/2023,Nutrition and Food Supplements ,-20000,Materials,COGS,Expense
2023,January,1,1/31/2023,Nutrition and Food Supplements ,-1200,Packaging,COGS,Expense
2023,January,1,1/31/2023,Nutrition and Food Supplements ,-2700,Shipping,COGS,Expense
2023,January,1,1/31/2023,Nutrition and Food Supplements ,-3000,Sales,COGS,Expense
2023,January,1,1/31/2023,Nutrition and Food Supplements ,-65000,Labor,COGS,Expense
2023,January,1,1/31/2023,Nutrition and Food Supplements ,-2100,Other,COGS,Expense
2023,January,1,1/31/2023,Nutrition and Food Supplements ,-12000,Interest and tax,Interest and tax,Expense
2023,February,1,2/28/2023,Nutrition and Food Supplements ,22500,,Consulting and professional services,Revenue
2023,March,1,3/31/2023,Nutrition and Food Supplements ,9000,,Consulting and professional services,Revenue
2023,February,1,2/28/2023,Nutrition and Food Supplements ,137700,,Sales,Revenue
2023,April,1,4/30/2023,Nutrition and Food Supplements ,13500,,Consulting and professional services,Revenue
2023,February,1,2/28/2023,Nutrition and Food Supplements ,3000,,Other income,Revenue
2023,February,1,2/28/2023,Nutrition and Food Supplements ,-15000,Rent,Opex,Expense
